所属概念数量,market_code,code,所属概念,股票代码
17,17,603533,短剧游戏;AI语料;ChatGPT概念;知识产权保护;抖音概念(字节概念);AIGC概念;文化传媒概念;AI应用;AI智能体;数据要素;鸿蒙概念;IP经济(谷子经济);独角兽概念;人工智能;华为概念;电子纸;沪股通,603533.SH
16,17,603121,DeepSeek概念;数据中心(AIDC);军工;小米汽车;传感器;长三角一体化;机器人概念;比亚迪概念;人形机器人;创投;氢能源;新能源汽车;芯片概念;燃料电池;汽车芯片;沪股通,603121.SH
4,33,002629,页岩气;俄乌冲突概念;天然气;光伏概念,002629.SZ
2,17,600847,储能;西部大开发,600847.SH
11,33,002766,智能座舱;无人驾驶;车联网(车路协同);数据要素;人工智能;物联网;人民币贬值受益;粤港澳大湾区;消费电子概念;5G;深股通,002766.SZ
7,33,002951,蚂蚁集团概念;数字经济;风电;储能;超级电容;西部大开发;深股通,002951.SZ
32,33,002421,液冷服务器;数字孪生;东数西算(算力);云计算;小米概念;物联网;数据中心(AIDC);信创;抖音概念(字节概念);华为鲲鹏;华为概念;腾讯概念;人脸识别;AI智能体;鸿蒙概念;宁德时代概念;工业互联网;机器人概念;AI应用;智慧城市;人工智能;粤港澳大湾区;DeepSeek概念;数字经济;建筑节能;碳中和;雄安新区;智能医疗;PPP概念;养老概念;深股通;融资融券,002421.SZ
10,17,603330,POE胶膜;光伏概念;专精特新;消费电子概念;芯片概念;华为概念;比亚迪概念;共封装光学(CPO);股权转让(并购重组);融资融券,603330.SH
11,33,000048,文化传媒概念;养鸡;猪肉;乡村振兴;物业管理;IP经济(谷子经济);粤港澳大湾区;机器人概念;人形机器人;融资融券;深股通,000048.SZ
12,33,002404,三胎概念;跨境电商;共同富裕示范区;IP经济(谷子经济);长三角一体化;一带一路;人民币贬值受益;互联网金融;高股息精选;石墨烯;绿色电力;光伏概念,002404.SZ
